led1.x,led1.y,led2.x,led2.y,led3.x,led3.y,led4.x,led4.y,temperatura,tempo
99.5130848679,494.786587152,99.7576174491,164.675558916,318.853315102,165.760426061,320.569924602,494.136299309,25,10.3992600441
99.5045191322,494.775985429,99.7547340913,164.674846983,318.855744619,165.758598749,320.579107822,494.139017836,25,10.4662539959
99.4976948879,494.78514982,99.7791185948,164.676507058,318.824233168,165.751746395,320.563613059,494.12622871,25,10.5435428619
99.5082036145,494.81331542,99.7675106604,164.687056422,318.839379415,165.749062473,320.585205029,494.136338756,25,10.5991199017
99.5042560846,494.784461568,99.7546010375,164.675826043,318.836113775,165.754376789,320.591541355,494.126922825,25,10.6621329784
99.4858664736,494.782963004,99.7598384662,164.686622524,318.857865897,165.759806569,320.582271166,494.12864411,25,10.7239599228
99.5070902851,494.805024701,99.7591195827,164.680719481,318.838342404,165.764363258,320.558859779,494.128764384,25,10.7842979431
99.4860665977,494.774712909,99.7624412685,164.684381507,318.836371738,165.771117578,320.577902325,494.123313848,25,10.849326849
99.4909526931,494.775804056,99.7713817612,164.690896938,318.845424555,165.763961401,320.564251328,494.121997191,25,10.9058070183
99.5192287714,494.77877027,99.7777868751,164.69531051,318.83658695,165.770119984,320.559038792,494.123576463,25,10.9685070515
99.48605092,494.795784129,99.7720808179,164.683203277,318.854060605,165.768793174,320.568340528,494.116244742,25,11.0268149376
99.504862638,494.782009578,99.748706801,164.690779118,318.831295008,165.762565836,320.583097544,494.146946639,25,11.0830788612
99.4989239502,494.778156357,99.7531589267,164.676603972,318.823611836,165.763728984,320.581364029,494.138526444,25,11.140586853
99.5120274914,494.78012077,99.7570750341,164.685671669,318.828874437,165.778187275,320.574530919,494.125903797,25,11.1965069771
99.522086159,494.791365664,99.7500086407,164.668063734,318.859944217,165.753443711,320.571838824,494.117554845,25,11.272892952
99.5138721937,494.783693559,99.7708458265,164.664862203,318.849438112,165.757676768,320.589315198,494.122531015,25,11.3341569901
99.5215713696,494.791837289,99.7754190676,164.686810759,318.839175622,165.769079078,320.573800719,494.120338445,25,11.4157109261
99.51615224,494.788657293,99.7767369087,164.68428532,318.846752198,165.743265112,320.560448787,494.130954632,25,11.5038230419
99.5085908293,494.792959171,99.7715850767,164.676138913,318.834784126,165.768322171,320.570504085,494.131122543,25,11.5761170387
99.4873507506,494.795029402,99.7534539829,164.669964648,318.840387829,165.757803223,320.570090636,494.130931736,25,11.6343359947
99.4987537225,494.773646211,99.7511619917,164.66581354,318.831947869,165.752123652,320.567196669,494.134859063,25,11.6877188683
99.4947584641,494.770679876,99.7623928767,164.675874837,318.853953123,165.756678181,320.586973441,494.122347209,25,11.7392878532
99.4877623549,494.794872482,99.7722052701,164.684550951,318.842109285,165.76064395,320.580238447,494.124677172,25,11.7978339195
99.5186354959,494.788078173,99.7845166354,164.67459572,318.836227048,165.760168265,320.579736122,494.125032724,25,11.8584070206
99.4862164613,494.797591603,99.7611222999,164.669333789,318.846441811,165.755803954,320.565525796,494.127939993,25,11.9126529694
99.486746149,494.793974046,99.7678897632,164.669978424,318.833914362,165.752171131,320.574794504,494.124286809,25,11.971446991
99.4938228009,494.785605503,99.7558636305,164.679746829,318.85334346,165.774250165,320.590467656,494.132011907,25,12.0230820179
99.5145782944,494.762504133,99.7638441553,164.682109246,318.842068698,165.753916047,320.568332986,494.137857973,25,12.0775990486
99.5133899883,494.774949875,99.7587110596,164.687540352,318.839094279,165.736270312,320.585850977,494.130145766,25,12.127218008
99.4845046942,494.782109973,99.7691422735,164.672646677,318.83242842,165.75442874,320.588194601,494.120465527,25,12.1772630215
99.4890176488,494.775452771,99.761922161,164.679240516,318.854890415,165.758594119,320.588660996,494.136696983,25,12.2339169979
99.5067749136,494.784318811,99.7685638482,164.674382598,318.845707102,165.760461344,320.575021538,494.130949742,25,12.2906160355
99.5181035278,494.779609737,99.7577303463,164.673841403,318.842567634,165.752225363,320.587072478,494.139040778,25,12.3784840107
99.5114672404,494.808140928,99.7551379576,164.681157549,318.843506192,165.766073687,320.572792178,494.1282341,25,12.4541270733
99.4882132104,494.798452429,99.7418891118,164.669290938,318.836413197,165.749594309,320.572189444,494.139512234,25,12.5225510597
99.517368504,494.800704799,99.7536946171,164.66253951,318.852420107,165.771926283,320.571825925,494.130969106,25,12.5764858723
99.5026122987,494.794772386,99.7625838392,164.684677339,318.828042193,165.778141561,320.567094997,494.142641453,25,12.6607549191
99.491472606,494.767118838,99.7673923198,164.673612386,318.855488482,165.760053295,320.596508735,494.130821316,25,12.7473919392
99.5162241641,494.782273645,99.7606307693,164.672895768,318.826934024,165.752213886,320.576957963,494.121742562,25,12.8086998463
99.5131430579,494.767660984,99.7481922323,164.67471452,318.842553663,165.748983426,320.577763637,494.129338684,25,12.8646678925
99.518056968,494.773826737,99.7612255804,164.675474215,318.857783349,165.759754392,320.590146438,494.127351455,25,12.9205539227
99.522302337,494.792501662,99.7471180245,164.681915831,318.831317132,165.766499372,320.582341535,494.120558517,25,12.9807510376
99.4846976793,494.786559544,99.7539227457,164.666807732,318.827168037,165.772765046,320.590338887,494.148899402,25,13.0474948883
99.5077477411,494.780147909,99.7442034079,164.657052452,318.844141729,165.76998755,320.565473995,494.118001928,25,13.1042499542
99.5011716118,494.78451394,99.7625102647,164.679696527,318.843954349,165.747779661,320.587036081,494.127353517,25,13.1758239269
99.4839156761,494.789305831,99.7504842556,164.666695767,318.835898733,165.777430551,320.570203274,494.129688172,25,13.2329959869
99.488980654,494.76638752,99.7663467972,164.675682162,318.839928378,165.74845031,320.57002203,494.136887576,25,13.2829129696
99.5154191521,494.790958747,99.7672782541,164.682535175,318.85597468,165.76131127,320.57651077,494.124239793,25,13.3332929611
99.5239152205,494.785915678,99.7563622407,164.678238235,318.835594885,165.762800808,320.581635756,494.118938219,25,13.4186968803
99.482644993,494.785535905,99.7608650201,164.677033697,318.836971679,165.762885417,320.569875686,494.131993112,25,13.4833209515
99.500334475,494.795192591,99.748710471,164.673265977,318.850922828,165.761518319,320.57300884,494.122192669,25,13.5405609608
99.4981333441,494.782099532,99.7663666426,164.684205742,318.833195813,165.758291229,320.584632772,494.130453403,25,13.5916850567
99.4929822062,494.78846041,99.7562625838,164.686196943,318.819777981,165.778311194,320.570399295,494.12229033,25,13.6489679813
99.4848940021,494.795603186,99.7671371151,164.664964362,318.845638352,165.754735039,320.582855188,494.126855247,25,13.703125
99.4976021517,494.781073096,99.7569572946,164.700147197,318.834259123,165.752376375,320.586547959,494.134574043,25,13.7528100014
99.488994356,494.777516623,99.7460306499,164.68370045,318.850022902,165.759957031,320.591395467,494.121034245,25,13.8031299114
99.5223074227,494.780371614,99.7593087427,164.660506282,318.835273804,165.778655371,320.572739933,494.120202268,25,13.8532550335
99.5078471102,494.768717989,99.7509605252,164.680066395,318.862681856,165.753411682,320.577354135,494.131486019,25,13.9298870564
99.5067006966,494.775310065,99.7675690993,164.67999426,318.829443979,165.764810234,320.573798066,494.124219091,25,13.9854729176
99.4967853979,494.795600207,99.757093559,164.659530987,318.827946163,165.747765594,320.591521201,494.127061501,25,14.0427789688
99.511070219,494.769170124,99.7623342445,164.676264161,318.854492522,165.755205794,320.574307988,494.133545966,25,14.0991270542
98.9840125047,495.555787927,99.1953694643,163.608137019,319.600385232,164.698469875,321.351254026,494.95083877,25,30.8700749874
98.9715543571,495.586710941,99.2326371633,163.62701313,319.573681995,164.684616021,321.331439009,494.954113117,25,30.9268989563
98.992644003,495.588509683,99.221421602,163.631274612,319.583493945,164.700511259,321.351077638,494.963493059,25,30.9875059128
98.9868396531,495.607467569,99.2099307496,163.624112416,319.587256257,164.718819956,321.340024573,494.965929708,25,31.0561230183
98.9859186314,495.581722823,99.2035278584,163.621313588,319.58349148,164.701927799,321.349105136,494.964514548,25,31.1179180145
98.9814874501,495.59774952,99.2049030717,163.621102005,319.588253499,164.709362079,321.357163988,494.963668235,25,31.1708300114
98.9890765687,495.609771095,99.2144105716,163.629382964,319.57416709,164.706136513,321.353810664,494.963000452,25,31.2229120731
98.9867912243,495.597248615,99.1922663915,163.61107017,319.595952095,164.694159719,321.341459428,494.967877039,25,31.3008370399
98.9685269802,495.585011074,99.2037756656,163.600554181,319.575881842,164.720722619,321.345632138,494.944033862,25,31.3762729168
98.9708029561,495.586762322,99.2290116281,163.61525913,319.567022761,164.722118924,321.357267,494.96441443,25,31.4292199612
99.0084798953,495.600880368,99.2205394158,163.606659133,319.571180228,164.671728924,321.33633983,494.969962031,25,31.4790890217
98.9934755036,495.593971864,99.2219612036,163.611643503,319.575034652,164.70174248,321.342403802,494.957252891,25,31.5289678574
98.9855421887,495.600927188,99.1955546568,163.61275926,319.573106373,164.682780332,321.347518273,494.975340156,25,31.5787320137
98.9971135418,495.588603306,99.2073803686,163.611250249,319.590716601,164.704758632,321.348442156,494.973929741,25,31.6285049915
98.9891992755,495.611070992,99.2181103997,163.609236466,319.567196,164.690256468,321.357539563,494.963174444,25,31.6807558537
98.9929109607,495.590371539,99.212258655,163.596476407,319.597892471,164.710427156,321.329293985,494.961193107,25,31.7518758774
98.9900576824,495.585627608,99.2227306016,163.610237731,319.600667012,164.712256616,321.344016849,494.968300962,25,31.8258800507
99.0014334739,495.598828305,99.2122057591,163.625705438,319.572569315,164.685749132,321.338188879,494.951980886,25,31.884139061
98.9883848123,495.5813246,99.2090788112,163.61899305,319.581197844,164.704651276,321.361876209,494.954098559,25,31.9508209229
98.986501166,495.599321985,99.2243854387,163.609044934,319.575031213,164.705360323,321.351954048,494.937806252,25,32.0158879757
98.987873333,495.586558682,99.2292415525,163.632120697,319.565539489,164.698898759,321.336557878,494.950725338,25,32.0738899708
99.0012881136,495.601113595,99.2253452102,163.60936109,319.584987107,164.692093013,321.353663472,494.943052553,25,32.1288490295
98.9895279936,495.591635052,99.2316969573,163.617712269,319.565315388,164.702961795,321.343392099,494.965840492,25,32.1789319515
98.9999800713,495.618027462,99.2096579526,163.60256399,319.587465175,164.706599255,321.340334095,494.977522554,25,32.2310829163
98.9920056047,495.582193,99.2166349791,163.6416856,319.584121187,164.718954366,321.355967724,494.936244059,25,32.3083310127
98.9792528434,495.596965029,99.2146166866,163.602842231,319.593677837,164.706838181,321.348921472,494.956863299,25,32.3749830723
99.0108299531,495.595252095,99.2033113633,163.607324122,319.565992502,164.711812974,321.345830616,494.954051178,25,32.427054882
98.9802150895,495.59218702,99.2055590749,163.604307648,319.577025214,164.693463682,321.344275778,494.974591222,25,32.4784770012
98.9861069791,495.59651403,99.230518495,163.636432303,319.603242619,164.700389805,321.364410447,494.954823108,25,32.5278499126
98.988960518,495.589728598,99.2384677461,163.616427955,319.608820927,164.70775689,321.339645256,494.955898507,25,32.5854859352
98.9946778059,495.5767724,99.220928177,163.634536513,319.59276413,164.705194158,321.332699342,494.950121122,25,32.6412010193
98.9682066089,495.585518042,99.233224107,163.60887205,319.562497751,164.70612438,321.345755742,494.96385129,25,32.7213449478
98.9881966723,495.612152391,99.2245540288,163.616953972,319.569013714,164.694133191,321.336436335,494.949822882,25,32.7787098885
98.9747877382,495.596211765,99.2305939863,163.615424147,319.576642927,164.700352133,321.352150198,494.966016375,25,32.8295829296
98.9885813976,495.622668225,99.2089164895,163.601254378,319.570807774,164.715933976,321.354043712,494.961312827,25,32.8891918659
98.9896274418,495.587855269,99.2139986722,163.610099794,319.588885471,164.672099621,321.353222589,494.944789466,25,32.9448530674
98.9541321607,495.615783097,99.1943948536,163.620615185,319.574028343,164.694485263,321.337816668,494.943371585,25,33.0242259502
98.9906260379,495.591011292,99.2225866279,163.612385942,319.578950874,164.698596377,321.344320457,494.945903015,25,33.0777900219
98.9802497846,495.589613712,99.2268320376,163.606600924,319.570842388,164.704734709,321.352487699,494.95433199,25,33.128027916
98.9796981803,495.601777364,99.2348626546,163.607136165,319.568711849,164.698991763,321.356480289,494.963195016,25,33.1883318424
99.0027671459,495.583995759,99.21318126,163.617653347,319.569248499,164.700301609,321.351226142,494.945264262,25,33.2406818867
99.0021652077,495.59819433,99.217331971,163.631285509,319.565786252,164.701604191,321.341997105,494.948918599,25,33.2941579819
98.9782741525,495.611642796,99.221635106,163.601853388,319.587775989,164.696736247,321.353971818,494.951848767,25,33.3502929211
99.00572805,495.59435718,99.2454997726,163.612891065,319.592835078,164.702050488,321.351024336,494.937412403,25,33.4098198414
98.9849617558,495.582558165,99.222278075,163.610915135,319.574013901,164.69981296,321.337922658,494.93769329,25,33.4641208649
99.0148433853,495.61673801,99.2226446226,163.587022614,319.609978572,164.696128872,321.340226319,494.947738207,25,33.5175139904
99.0038537503,495.586021094,99.2216648619,163.633761174,319.584132507,164.692242027,321.352681925,494.951387436,25,33.5683529377
98.9763446071,495.591149182,99.2290535391,163.606679527,319.57861453,164.701438092,321.355171151,494.935809146,25,33.6240868568
98.9907540453,495.58673772,99.2017906677,163.619480455,319.579420441,164.70423427,321.345903677,494.956674685,25,33.6763260365
98.9906117726,495.591453338,99.2242516822,163.62509946,319.576005614,164.715016509,321.343470902,494.948390245,25,33.751718998
98.9910275483,495.584906224,99.2254651251,163.611586673,319.569607808,164.706763424,321.352338699,494.968187331,25,33.8012049198
98.9990918481,495.580867934,99.2048555069,163.629433925,319.570576641,164.712235275,321.355950739,494.957580405,25,33.8546350002
